"","Matz_Number","Serial","Replicate","Assay","PC1Group","PC2Group","PC3Group","Size_mm","Date","Aresp","Alateraliz","AReacDist_cm","ALatency_ms","AResp_dist_cm","AResp_spd_mms","AResp_MX_spd","At2mxspd_s","Aresp_dur_s","Amx_accel","At2mxaccel","VResp_dist_cm","VResp_spd_mms","VMeanAngSpd","VMeanMeander","VMeanMobility","RDistanceMoved_cm","RMeanSpeed","RMeanAngularSpd","RMeanMeander","RMeanMobility"
"49",49,26,1,"acoustic",-0.32,-0.9,0.88,11.541,41619,1,0,NA,16.7,1.83,18.74,53.94,0.021,0.096,6472.1,0.029,NA,NA,NA,NA,NA,20.51,0.63,-34.27,-78.93,12.16
"51",51,28,1,"acoustic",-0.22,-0.09,0.08,12.698,41619,1,0,NA,12.5,1.39,21.87,72.33,0.021,0.058,12247.2,0.021,NA,NA,NA,NA,NA,3.84,0.12,98.88,-424.53,3.39
"52",52,29,1,"acoustic",0.3,0.34,1.33,11.856,41619,1,0,NA,8.3,3.19,27.21,74.52,0.004,0.113,6868.6,0.017,NA,NA,NA,NA,NA,31.79,1.09,-50.95,-644.79,17.02
"53",53,30,1,"acoustic",0.07,-1.21,-0.25,12.817,41619,1,0,NA,8.3,2.15,19.8,53.19,0.025,0.096,6254.6,0.058,NA,NA,NA,NA,NA,28.03,0.8,17.46,-115.48,24.52
"54",54,31,1,"acoustic",-0.58,-0.31,-1.18,13.158,41619,1,1,NA,8.3,1.37,14.7,36.53,0.004,0.083,4446.2,0.042,NA,NA,NA,NA,NA,48.06,1.55,-15.85,224.68,31.26
"56",56,33,1,"acoustic",-0.32,0.05,-1.01,11.957,41619,1,1,NA,8.3,1.34,13.72,63.36,0.017,0.083,8892.5,0.017,NA,NA,NA,NA,NA,19.74,0.66,54.1,-621.87,19.91
"57",57,34,1,"acoustic",0.09,-0.03,1.96,11.358,41619,1,1,NA,25,2.81,20.23,70.27,0.008,0.129,8925.8,0.008,NA,NA,NA,NA,NA,22.71,0.76,56.4,488.24,24.49
"58",58,35,1,"acoustic",-0.45,-0.34,0.32,11.02,41619,1,0,NA,16.7,1.32,23.88,62.22,0.013,0.054,7842.5,0.038,NA,NA,NA,NA,NA,32.25,0.97,-29,-450.11,25.37
"5",5,53,1,"visual",0.99,0.37,NA,12.231,41618,1,0,0.36,929.2,NA,NA,NA,NA,NA,NA,NA,5.79,7.23,61.64,23.68,80.51,15.99,0.48,-13.75,-525.21,9.93
"61",61,38,1,"acoustic",-1.93,-0.88,0.67,11.167,41619,1,0,NA,25,0.26,6.09,21.92,0.004,0.029,3507.4,0.013,NA,NA,NA,NA,NA,18.18,0.55,-16.68,53.97,12.16
"62",62,39,1,"acoustic",-0.02,-0.12,0.26,12.707,41619,1,0,NA,8.3,1.87,19.99,104.49,0.004,0.088,5112.7,0.033,NA,NA,NA,NA,NA,5.46,0.16,-3.58,11325.4,6.67
